female,race_white,race_black,race_hisp,race_asian,educ,age,income,region,dem,rep,ideology,interest_pol,conf_wh,conf_cong,conf_sc,conf_mil,conf_crim,conf_med,conf_wh_w2,conf_cong_w2,conf_sc_w2,conf_mil_w2,conf_crim_w2,conf_med_w2,news_nat,fake_news,fox_news,breit_news,tot_news,fake_exp,conf_gov,conf_gov_w2,weight
0,0,0,1,0,6,64,10,4,0,0,3,5,1,1,2,5,3,2,1,2,3,5,4,1,4,1,1,0,6.274762021,Not exposed,2.4,3,2.255932039
1,1,0,0,0,3,46,2,3,0,0,3,1,1,1,1,2,1,2,1,1,2,1,1,2,3,1,1,0,7.134093721,Not exposed,1.2,1.2,0.481109275
1,0,1,0,0,4,51,8,1,1,0,1,5,1,1,1,3,1,1,1,1,1,3,1,1,4,1,1,1,5.416100402,Not exposed,1.4,1.4,0.480973483
0,1,0,0,0,2,43,12,2,0,1,3,4,4,3,2,4,2,2,3,2,3,4,3,2,3,1,0,0,3.891820298,Not exposed,3,3,2.099229951
0,1,0,0,0,5,58,9,4,1,0,3,5,1,2,2,3,3,2,2,2,3,4,3,1,4,1,1,0,6.244166901,Not exposed,2.2,2.8,0.482938253
1,1,0,0,0,4,25,6,3,1,0,3,2,2,2,2,3,3,2,2,3,3,3,3,2,2,0,0,0,2.197224577,Not exposed,2.4,2.8,0.447136166
0,1,0,0,0,4,37,4,2,1,0,2,4,1,2,2,3,3,2,2,2,2,3,3,3,4,0,1,0,8.4147174,Not exposed,2.2,2.4,0.531169203
1,1,0,0,0,2,57,5,2,1,0,4,1,1,1,1,4,2,2,1,2,2,4,2,2,3,0,0,0,4.955827058,Not exposed,1.8,2.2,2.193467314
1,1,0,0,0,5,38,3,3,1,0,1,3,1,2,2,3,1,3,1,2,3,3,2,3,3,0,0,0,6.284134161,Not exposed,1.8,2.2,0.422903985
1,1,0,0,0,5,41,5,4,1,0,2,2,3,3,2,2,2,2,3,3,3,3,3,2,3,0,0,0,6.12249281,Not exposed,2.4,3,0.951115622
1,1,0,0,0,5,26,6,2,1,0,1,5,2,2,3,4,2,2,2,2,4,3,2,2,4,0,0,0,2.079441542,Not exposed,2.6,2.6,0.719800341
1,0,1,0,0,3,57,1,2,1,0,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,0,7.763871288,Exposed,1,1.2,1.287854286
0,0,0,0,0,2,42,9,3,0,0,3,2,2,2,3,4,3,3,3,2,4,4,3,3,2,0,1,0,6.960347729,Exposed,2.8,3.2,0.556880045
1,0,1,0,0,2,18,5,3,0,0,1,1,1,2,1,4,2,3,1,1,1,2,1,3,3,1,0,0,5.631211782,Exposed,2,1.2,2.18999455
1,1,0,0,0,2,35,10,1,0,0,2,2,2,2,2,3,3,3,3,3,3,5,2,3,2,1,0,0,6.809039306,Exposed,2.4,3.2,1.66138023
1,0,0,1,0,5,50,5,3,0,1,4,5,4,4,3,3,3,3,3,3,3,3,3,4,4,0,0,0,2.890371758,Not exposed,3.4,3,1.990686624
1,1,0,0,0,3,29,9,1,1,0,3,4,2,3,2,5,2,2,1,3,3,4,3,1,3,0,0,0,4.127134385,Not exposed,2.8,2.8,0.622868179
1,0,0,1,0,3,23,6,1,1,0,2,3,1,1,1,1,2,2,1,2,2,2,2,2,3,1,0,0,5.902633333,Not exposed,1.2,1.8,3.214355248
1,1,0,0,0,5,25,5,1,0,0,1,3,2,2,3,2,2,2,2,2,3,2,3,3,3,0,0,0,7.906547232,Not exposed,2.2,2.4,0.4
0,1,0,0,0,3,19,10,3,0,1,4,5,3,2,5,5,5,4,3,2,4,5,4,4,4,1,1,0,7.020190708,Not exposed,4,3.6,0.4
1,1,0,0,0,5,28,6,1,0,0,1,4,1,1,1,2,1,4,1,1,1,2,1,4,3,1,0,0,5.857933154,Not exposed,1.2,1.2,0.4
1,0,0,0,0,5,30,9,3,0,0,1,2,3,3,3,3,3,1,3,3,3,4,4,3,4,0,0,0,3.970291914,Not exposed,3,3.4,0.4
